symbol,timestamp,date,week,hour,signal,source,confidence,entry_price,stop_loss,tp1,tp2,outcome,pnl_pct,exit_price,is_winner,executed,execution_mode,ml_probability,ml_vote,lstm_probability,lstm_vote,confluence_score,votes_for,votes_against,market_regime,market_regime_base,rsi,adx,atr,bb_position,trend,macd_histogram,cvd,orderbook_imbalance,operation_type,block_reason,voter_rsi,voter_macd,voter_trend,voter_adx,voter_bb,voter_orderbook,voter_cvd,voter_regime,voter_setup_validator,voter_llm,risk_distance_pct,reward_distance_pct,risk_reward
ADAUSDT,2026-03-10 12:22:20.152656+00:00,2026-03-10,11,12,NO_SIGNAL,AGNO,6,0.2632,0.2531,0.2721,0.2784,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,58.77703143459774,36.43728449542797,0.0032953657510865556,0.7513134336201961,neutral,0.0004530253961802604,37255.0,0.1625184426662471,,,0,0,0,0,0,0,0,0,0,0,3.8373860182370816,3.3814589665653565,0.8811881188118831
ADAUSDT,2026-03-10 12:47:31.482720+00:00,2026-03-10,11,12,BUY,AGNO,7,0.2638,0.2545,0.2721,0.2784,TP1_HIT,3.1463229719484573,0.2721,True,False,,,0,,0,0.0,0.0,0,,,59.845542598015456,36.24273161247413,0.003323937179657981,0.7778574075640222,neutral,0.00047855246170733614,-148949.0,0.11018783791287715,,,0,0,0,0,0,0,0,0,0,0,3.525398028809695,3.1463229719484573,0.8924731182795755
ADAUSDT,2026-03-11 00:40:52.524487+00:00,2026-03-11,11,0,BUY,AGNO,7,0.2604,0.2539,0.268,0.2722,TP2_HIT,3.725038402457752,0.2722,True,False,,,0,,0,0.0,0.0,0,,,45.74378101032228,29.77024374111496,0.0036213655923253295,0.25977118398868976,neutral,-0.0010489398306042148,-351987.0,0.11490391780041638,,,0,0,0,0,0,0,0,0,0,0,2.4961597542242724,2.9185867895545297,1.1692307692307675
ADAUSDT,2026-03-11 00:51:19.542684+00:00,2026-03-11,11,0,SELL,AGNO,7,0.2615,0.268,0.255,0.25,SL_HIT,-2.4856596558317423,0.268,False,False,,,0,,0,0.0,0.0,0,,,48.67446357318311,29.77024374111496,0.0036213655923253295,0.3472306623055388,neutral,-0.0009532133348777478,67380.0,0.11246627259541152,,,0,0,0,0,0,0,0,0,0,0,2.4856596558317423,2.4856596558317423,1.0
ADAUSDT,2026-03-11 01:10:51.275486+00:00,2026-03-11,11,1,NO_SIGNAL,AGNO,6,0.2617,0.2539,0.272,0.2743,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,48.4516017697783,28.02149119507577,0.0034601455908309167,0.3304770508661278,neutral,-0.0009150720455361877,340124.0,0.09993244583817286,,,0,0,0,0,0,0,0,0,0,0,2.980512036683215,3.935804356132989,1.320512820512829
ADAUSDT,2026-03-11 01:30:10.758007+00:00,2026-03-11,11,1,NO_SIGNAL,AGNO,6,0.2609,0.2539,0.2721,0.2743,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,46.94692807977048,28.021491195075775,0.0035172884479737756,0.2884291160724908,neutral,-0.0009597444102085479,110050.0,0.0808584840078863,,,0,0,0,0,0,0,0,0,0,0,2.6830203142966678,4.29283250287466,1.5999999999999968
ADAUSDT,2026-03-11 01:49:41.493134+00:00,2026-03-11,11,1,NO_SIGNAL,AGNO,6,0.2602,0.2539,0.2721,0.2743,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,45.337814441516855,27.862829581630603,0.0035458598765452007,0.2415578545949867,neutral,-0.0010107985412626992,31202.0,0.029223598768537015,,,0,0,0,0,0,0,0,0,0,0,2.4212144504227413,4.573405073020761,1.8888888888889004
ADAUSDT,2026-03-11 02:09:14.164751+00:00,2026-03-11,11,2,BUY,AGNO,7,0.2607,0.2539,0.268,0.272,TP2_HIT,3.5673187571921865,0.272,True,False,,,0,,0,0.0,0.0,0,,,46.3800544828131,26.091660140610593,0.0033354413570262816,0.26119742096447707,neutral,-0.0009614108422601486,47376.0,0.1043428562635807,,,0,0,0,0,0,0,0,0,0,0,2.6083621020329777,2.8001534330648363,1.0735294117647143
ADAUSDT,2026-03-11 02:29:57.289249+00:00,2026-03-11,11,2,SELL,AGNO,7,0.2602,0.268,0.254,0.25,SL_HIT,-2.997694081475799,0.268,False,False,,,0,,0,0.0,0.0,0,,,44.86466021718026,25.96831573661881,0.00338544135702628,0.21990057383102682,neutral,-0.0010060832069325087,31741.0,0.15131505741847825,,,0,0,0,0,0,0,0,0,0,0,2.997694081475799,2.3827824750192095,0.7948717948717897
ADAUSDT,2026-03-11 02:50:26.842812+00:00,2026-03-11,11,2,NO_SIGNAL,AGNO,6,0.2589,0.2539,0.2721,0.2743,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,42.53422110245459,26.23155358758127,0.0034711556427405644,0.15208625408467027,neutral,-0.0010826644035136913,-162158.0,0.14971595050893183,,,0,0,0,0,0,0,0,0,0,0,1.9312475859405192,5.098493626882962,2.6399999999999957
